contact_id,sample_id,fiber_id_1,fiber_id_2,contact_area_um2,angle_between_fibers
C000001,S001,F000028,F000010,410.92,6.09
C000002,S001,F000149,F000191,11.48,52.38
C000003,S001,F000169,F000149,144.14,86.04
C000004,S001,F000104,F000082,8.84,13.85
C000005,S001,F000066,F000049,12.32,39.66
C000006,S001,F000051,F000180,11.98,82.31
C000007,S001,F000038,F000119,46.35,37.57
C000008,S001,F000067,F000024,21.78,65.76
C000009,S001,F000191,F000150,46.22,64.69
C000010,S001,F000051,F000170,57.21,39.31
C000011,S001,F000027,F000061,216.2,28.67
C000012,S001,F000086,F000097,22.44,72.35
C000013,S001,F000110,F000116,40.89,51.61
C000014,S001,F000160,F000098,122.63,40.63
C000015,S001,F000057,F000010,81.42,68.79
C000016,S001,F000057,F000095,29.07,30.36
C000017,S001,F000179,F000159,97.87,17.58
C000018,S001,F000016,F000029,32.82,42.14
C000019,S001,F000088,F000002,44.24,40.25
C000020,S001,F000160,F000001,41.42,7.13
C000021,S001,F000116,F000097,65.93,69.2
C000022,S001,F000123,F000172,45.74,60.26
C000023,S001,F000168,F000159,123.87,32.99
C000024,S001,F000115,F000161,1.95,7.89
C000025,S001,F000103,F000183,113.11,57.12
C000026,S001,F000100,F000142,26.14,60.26
C000027,S001,F000003,F000122,23.69,39.94
C000028,S001,F000113,F000028,45.04,52.94
C000029,S001,F000130,F000133,33.73,70.67
C000030,S001,F000001,F000073,182.65,35.82
C000031,S001,F000148,F000005,15.17,18.65
C000032,S001,F000079,F000055,110.64,32.47
C000033,S001,F000125,F000042,69.15,82.57
C000034,S001,F000005,F000169,43.31,26.94
C000035,S001,F000042,F000152,12.71,74.88
C000036,S001,F000117,F000061,4.21,75.62
C000037,S001,F000004,F000169,595.43,17.47
C000038,S001,F000078,F000182,23.84,83.72
C000039,S001,F000150,F000040,53.89,34.25
C000040,S001,F000142,F000106,47.31,12.12
C000041,S001,F000060,F000134,49.05,73.36
C000042,S001,F000167,F000012,47.46,11.0
C000043,S001,F000115,F000081,65.53,28.55
C000044,S001,F000008,F000106,17.07,35.96
C000045,S001,F000187,F000134,95.77,15.74
C000046,S001,F000030,F000119,58.24,57.45
C000047,S001,F000064,F000034,166.99,18.81
C000048,S001,F000184,F000034,2.28,6.76
C000049,S001,F000140,F000090,5.38,51.47
C000050,S001,F000066,F000009,6.99,50.09
C000051,S001,F000025,F000047,6.38,35.12
C000052,S001,F000001,F000134,19.69,61.6
C000053,S001,F000157,F000136,57.51,55.05
C000054,S001,F000082,F000056,106.09,11.06
C000055,S001,F000023,F000078,47.94,16.37
C000056,S001,F000174,F000185,32.44,62.78
C000057,S001,F000002,F000013,291.72,55.03
C000058,S001,F000139,F000053,67.91,16.17
C000059,S001,F000182,F000066,27.93,39.29
C000060,S001,F000009,F000094,92.8,62.44
C000061,S001,F000138,F000007,24.43,59.64
