fiber_id,sample_id,diameter_um,length_um,orientation_theta,orientation_psi,curvature,n_contacts,mean_contact_area_um2,volume_voxels
F000001,S001,37.46,709.0,25.03,109.69,0.00365,3,27.69,119844
F000002,S001,18.3,640.4,37.66,170.69,0.00077,5,156.49,25426
F000003,S001,18.15,700.8,32.46,184.59,0.02288,5,58.95,26789
F000004,S001,28.67,786.5,75.78,20.0,0.00196,1,30.6,82538
F000005,S001,22.99,441.2,77.09,134.01,0.00413,1,48.67,32091
F000006,S001,39.52,756.5,27.99,247.56,0.01143,2,18.67,138854
F000007,S001,29.01,610.5,75.27,356.09,0.01415,3,32.54,49730
F000008,S001,25.79,733.6,42.24,54.24,0.00992,1,28.52,52035
F000009,S001,21.77,849.2,44.4,30.28,0.00597,5,12.4,47549
F000010,S001,28.98,750.1,43.43,276.71,0.01066,4,7.21,70288
F000011,S001,27.01,706.6,15.98,121.99,0.00574,0,0.0,70205
F000012,S001,28.29,724.4,53.86,2.63,0.00805,7,219.6,75059
F000013,S001,18.57,792.9,65.92,158.43,0.00863,6,28.77,25959
F000014,S001,22.46,632.3,88.7,167.39,0.01549,2,118.51,41585
F000015,S001,28.25,799.2,3.33,134.17,0.00146,1,30.43,82301
F000016,S001,20.16,533.3,72.08,17.63,0.00145,2,52.4,27001
F000017,S001,27.83,630.7,80.61,241.78,0.00166,3,48.2,54467
F000018,S001,23.28,675.3,16.88,30.53,0.00036,4,10.03,43862
F000019,S001,14.62,721.4,82.38,178.89,0.00347,1,10.13,14468
F000020,S001,19.79,723.1,30.9,151.34,0.01555,4,42.71,38317
F000021,S001,21.86,366.6,53.17,235.24,0.00733,1,8.55,23437
F000022,S001,27.31,754.6,71.28,282.18,0.00176,6,31.82,55051
F000023,S001,22.25,644.8,46.15,155.87,0.00021,2,75.59,30672
F000024,S001,19.51,673.9,28.13,18.35,0.0045,1,84.22,26339
F000025,S001,28.35,671.2,37.49,0.6,0.0011,1,23.86,62499
F000026,S001,15.62,789.1,70.25,302.83,0.00587,1,115.96,24038
F000027,S001,33.77,736.7,83.73,17.48,0.02101,2,33.4,114096
F000028,S001,25.95,801.1,2.82,39.83,0.00998,2,249.83,50320
F000029,S001,30.59,933.7,14.65,278.26,0.03356,3,24.44,114334
F000030,S001,30.13,783.2,54.07,77.89,0.005,1,0.53,77629
F000031,S001,25.5,627.7,65.27,254.91,0.02404,3,13.12,51156
F000032,S001,27.38,707.9,89.26,1.44,0.00035,2,134.48,71135
F000033,S001,23.78,559.3,24.59,18.19,0.01434,3,53.98,32844
F000034,S001,31.16,705.1,54.97,199.27,0.01315,6,0.98,89040
F000035,S001,26.52,634.5,8.47,320.28,0.0064,3,5.46,59354
F000036,S001,26.91,548.9,42.28,264.06,0.01546,5,7.48,53712
F000037,S001,20.48,583.7,8.99,73.58,0.0035,0,0.0,33951
F000038,S001,25.21,928.0,79.88,142.07,0.00872,4,86.31,60304
F000039,S001,25.19,736.2,11.8,58.63,0.00113,2,12.21,59839
F000040,S001,25.5,609.8,18.19,66.88,0.00468,2,16.84,54624
F000041,S001,25.38,454.0,9.96,90.88,0.00627,6,8.77,31358
F000042,S001,22.41,374.8,76.12,222.03,0.01308,1,11.1,24982
F000043,S001,20.94,587.9,26.64,133.65,0.00767,4,103.34,25204
F000044,S001,25.42,560.1,16.15,148.88,0.00085,4,32.34,37864
F000045,S001,13.72,658.7,84.6,319.68,0.02041,3,46.22,12290
F000046,S001,25.04,758.3,43.38,343.15,0.00166,2,4.04,46865
F000047,S001,26.27,815.2,54.73,167.41,0.00436,3,78.31,64629
F000048,S001,27.71,762.1,30.72,18.04,0.00156,4,77.15,66387
F000049,S001,24.34,695.4,89.4,101.12,0.00048,1,10.81,50467
F000050,S001,26.34,780.2,28.72,261.42,0.00873,4,14.91,67449
F000051,S001,27.25,782.2,40.47,321.3,0.00382,5,68.4,64931
F000052,S001,27.12,799.7,45.8,326.55,0.01434,3,54.71,57233
F000053,S001,29.02,651.3,59.66,7.12,0.00509,3,31.36,54348
F000054,S001,23.36,656.2,25.52,242.91,0.01614,2,28.93,43479
F000055,S001,25.22,699.4,28.84,351.41,0.01129,1,18.36,59498
F000056,S001,30.92,627.5,84.23,307.43,0.00777,3,16.5,81292
F000057,S001,28.26,575.8,88.04,268.2,0.00619,3,90.29,48969
F000058,S001,25.71,757.8,36.9,78.79,0.03084,2,24.83,65208
F000059,S001,33.67,689.9,69.69,41.65,0.00604,2,12.33,95352
F000060,S001,21.48,886.6,6.27,49.68,0.01444,3,107.59,41429
F000061,S001,23.34,622.5,45.07,247.02,0.00641,3,19.57,38837
F000062,S001,28.68,777.8,60.5,127.2,0.00421,4,147.9,74189
F000063,S001,23.56,713.3,79.12,34.59,0.00119,1,0.62,36847
F000064,S001,20.5,669.3,3.14,234.81,0.01726,1,253.17,36957
F000065,S001,23.42,610.8,8.35,142.01,0.01367,3,80.3,36922
